date,industry,composite_score,ranking,ranking_status,capital_momentum_score,tech_activity_score,external_signal_score,score_change,ranking_change
2026-06-14,人工智能,,,insufficient_history,,,,,
2026-06-14,低空经济,,,insufficient_history,,,,,
2026-06-14,储能,,,insufficient_history,,,,,
2026-06-14,医药健康,,,insufficient_history,,,,,
2026-06-14,半导体,,,insufficient_history,,,,,
2026-06-14,新能源汽车,,,insufficient_history,,,,,
2026-06-14,旅游,,,insufficient_history,,,,,
2026-06-14,机器人,,,insufficient_history,,,,,
2026-06-14,消费零售,,,insufficient_history,,,,,
2026-06-14,物流供应链,,,insufficient_history,,,,,
2026-06-14,网络安全,,,insufficient_history,,,,,
2026-06-14,跨境电商,,,insufficient_history,,,,,
2026-06-15,人工智能,,,insufficient_history,,,,,
2026-06-15,低空经济,,,insufficient_history,,,,,
2026-06-15,储能,,,insufficient_history,,,,,
2026-06-15,医药健康,,,insufficient_history,,,,,
2026-06-15,半导体,,,insufficient_history,,,,,
2026-06-15,新能源汽车,,,insufficient_history,,,,,
2026-06-15,旅游,,,insufficient_history,,,,,
2026-06-15,机器人,,,insufficient_history,,,,,
2026-06-15,消费零售,,,insufficient_history,,,,,
2026-06-15,物流供应链,,,insufficient_history,,,,,
2026-06-15,网络安全,,,insufficient_history,,,,,
2026-06-15,跨境电商,,,insufficient_history,,,,,
2026-06-16,人工智能,80.83333333333333,2,trial,91.66666666666666,75.0,,,
2026-06-16,低空经济,45.83333333333334,8,trial,45.833333333333336,,,,
2026-06-16,储能,58.33333333333334,6,trial,58.333333333333336,,,,
2026-06-16,医药健康,25.0,10,trial,25.0,25.0,,,
2026-06-16,半导体,59.375,5,trial,100.0,37.5,,,
2026-06-16,新能源汽车,79.16666666666667,3,trial,79.16666666666667,,,,
2026-06-16,旅游,58.33333333333334,6,trial,58.333333333333336,,,,
2026-06-16,机器人,67.70833333333333,4,trial,54.16666666666666,75.0,,,
2026-06-16,消费零售,8.333333333333332,12,trial,8.333333333333332,,,,
2026-06-16,物流供应链,41.66666666666666,9,trial,41.66666666666666,,,,
2026-06-16,网络安全,89.79166666666666,1,trial,70.83333333333333,100.0,,,
2026-06-16,跨境电商,16.666666666666664,11,trial,16.666666666666664,,,,
2026-06-17,人工智能,79.375,2,trial,87.5,75.0,,-1.4583333333333286,0
2026-06-17,低空经济,37.5,9,trial,37.5,,,-8.333333333333343,-1
2026-06-17,储能,54.16666666666666,8,trial,54.16666666666667,,,-4.166666666666686,-2
2026-06-17,医药健康,27.916666666666664,10,trial,33.333333333333336,25.0,,2.9166666666666643,0
2026-06-17,半导体,59.375,6,trial,100.0,37.5,,0.0,-1
2026-06-17,新能源汽车,70.83333333333334,3,trial,70.83333333333334,,,-8.333333333333329,0
2026-06-17,旅游,62.49999999999999,5,trial,62.49999999999999,,,4.16666666666665,1
2026-06-17,机器人,64.79166666666666,4,trial,45.83333333333333,75.0,,-2.9166666666666714,0
2026-06-17,消费零售,8.333333333333332,12,trial,8.333333333333332,,,0.0,0
2026-06-17,物流供应链,58.33333333333333,7,trial,58.33333333333333,,,16.66666666666667,2
2026-06-17,网络安全,91.25,1,trial,75.0,100.0,,1.4583333333333428,0
2026-06-17,跨境电商,16.666666666666664,11,trial,16.666666666666664,,,0.0,0
2026-06-18,人工智能,79.375,2,trial,87.5,75.0,,0.0,0
2026-06-18,低空经济,50.0,7,trial,50.0,,,12.5,2
2026-06-18,储能,50.0,7,trial,50.0,,,-4.166666666666657,1
2026-06-18,医药健康,30.833333333333336,10,trial,41.66666666666667,25.0,,2.9166666666666714,0
2026-06-18,半导体,59.375,5,trial,100.0,37.5,,0.0,1
2026-06-18,新能源汽车,58.33333333333334,6,trial,58.333333333333336,,,-12.5,-3
2026-06-18,旅游,66.66666666666666,3,trial,66.66666666666666,,,4.166666666666664,2
2026-06-18,机器人,64.79166666666666,4,trial,45.83333333333333,75.0,,0.0,0
2026-06-18,消费零售,8.333333333333332,12,trial,8.333333333333332,,,0.0,0
2026-06-18,物流供应链,49.99999999999999,9,trial,49.99999999999999,,,-8.333333333333336,-2
2026-06-18,网络安全,91.25,1,trial,75.0,100.0,,0.0,0
2026-06-18,跨境电商,16.666666666666664,11,trial,16.666666666666664,,,0.0,0
